Timestamp,X,Y,Z
20250207105810,1175,4765,-15577
20250207105811,2466,-10612,-7217
20250207105812,2628,-18890,13190
20250207105813,3074,-3412,21350
20250207105814,-9581,8846,8691
20250207105815,-8892,11424,7683
20250207105816,-8331,12200,7377
20250207105817,-1113,-15983,-2538
20250207105818,-1338,-12918,-10733
20250207105819,-630,-13558,-10301
20250207105820,10980,-13644,-6261
20250207105821,-2221,32758,-32753
20250207105822,23319,-11423,-32758
20250207105823,-7911,-3146,12663
20250207105824,3521,14658,11733
20250207105825,32758,-10337,-5178
20250207105826,7113,5939,20697
20250207105827,32758,-29477,11070
20250207105828,-8445,4652,12150
20250207105829,-1021,-17574,-7422
20250207105830,-1561,13072,9948
20250207105831,-4505,7869,13377
20250207105832,-5765,3481,16451
20250207105833,-10681,1277,13527
20250207105834,-6834,5316,13552
20250207105835,-10912,4177,11228
20250207105836,-13668,2794,8916
20250207105837,-13951,-6165,6306
20250207105838,-13356,-9622,-5031
20250207105839,-13071,-10649,-3070
20250207105840,-11974,-9547,7067
20250207105841,-11244,-10066,7634
20250207105842,-4752,-8824,12267
20250207105843,-6870,7446,11794
20250207105844,1888,-3193,17159
20250207105845,-3127,5601,-14838
20250207105846,-3286,-20,10202
20250207105847,-369,0,16472
20250207105848,-228,-342,16519
20250207105849,-8440,9537,9743
20250207105850,-11070,10996,4761
20250207105851,-11933,10433,5348
20250207105852,-10799,10774,5796
20250207105853,-11999,10593,3512
20250207105854,-1068,-2449,-16133
20250207105855,-58,-4886,-14841
20250207105856,-9858,4458,-12471
20250207105857,-10233,2273,-13340
20250207105858,-10104,1662,-12428
20250207105859,-8963,436,-14000
20250207105900,-10895,1008,-11641
20250207105901,-12076,864,-10483
20250207105902,-12980,12800,3531
20250207105903,-2202,-15190,-7079
20250207105904,-26,-12283,-13074
20250207105905,-13159,-9408,-3592
20250207105906,10382,-8539,5185
20250207105907,3138,10941,32764
20250207105908,7858,-505,-1125
20250207105909,-15063,4565,3558
20250207105910,-3573,-492,9334
20250207105911,-3813,7424,14431
20250207105912,972,22524,-1105
20250207105913,-6255,-1263,-15921
20250207105914,-7187,-8929,-3957
20250207105915,-16036,-3454,-4976
20250207105916,-12520,-6117,6980
20250207105917,-8938,8124,11723
20250207105918,-5188,10269,-7155
20250207105919,-13385,1337,-3015
20250207105920,-946,-27,16662
20250207105921,-2352,-189,16323
20250207105922,-2547,-306,16339
20250207105923,-2520,-191,16332
20250207105924,-2564,-272,16340
20250207105925,-2516,-274,16321
20250207105926,-2506,-229,16319
20250207105927,-2510,-255,16273
20250207105928,-2503,-254,16277
20250207105929,-2489,-259,16303
20250207105930,-2493,-255,16337
20250207105931,-2508,-254,16318
20250207105932,-2505,-218,16309
20250207105933,-2542,-275,16300
20250207105934,-2567,-255,16295
20250207105935,-2531,-259,16322
20250207105936,-2505,-232,16272
20250207105937,-2537,-256,16334
20250207105938,-2484,-547,16367
20250207105939,-2453,-265,16309
20250207105940,-2456,-55,16105
20250207105941,-2513,-365,16426
20250207105942,-2461,-228,16271
20250207105943,-2490,-255,16326
20250207105944,-2545,-277,16300
20250207105945,-2463,-248,16295
20250207105946,-2445,-238,16311
20250207105947,-2464,-252,16320
20250207105948,-2508,-257,16314
20250207105949,-2500,-235,16327
20250207105950,-2479,-210,16312
20250207105951,-2505,-233,16311
20250207105952,-2457,-209,16301
20250207105953,-2499,-241,16304
20250207105954,-2483,-189,16290
20250207105955,-6893,-2198,14602
20250207105956,-10817,-7262,11312
20250207105957,-3260,-6382,15763
20250207105958,-594,-5107,15671
20250207105959,-757,-2167,20343
20250207110000,-330,-1910,16391
20250207110001,-347,-2107,16384
20250207110002,-339,-2112,16431
20250207110003,-371,-2181,16348
20250207110004,-327,-2116,16365
20250207110005,-368,-2160,16349
20250207110006,-411,-2214,16271
20250207110007,-341,-2116,16389
20250207110008,-362,-2134,16374
20250207110009,-320,-2108,16386
20250207110010,-363,-2123,16373
20250207110011,-356,-2123,16387
20250207110012,-343,-2095,16403
20250207110013,-350,-2132,16383
20250207110014,-447,-2104,16391
20250207110015,-366,-1958,16271
20250207110016,-407,-2115,16406
20250207110017,-434,-2084,16384
20250207110018,-377,-2132,16377
20250207110019,-490,-2075,16399
20250207110020,-369,-2079,16348
20250207110021,-267,-2171,16453
20250207110022,-376,-2050,16371
20250207110023,-375,-2026,16400
20250207110024,-346,-1949,16403
20250207110025,-389,-2023,16420
20250207110026,-378,-1985,16383
20250207110027,-366,-2030,16405
20250207110028,-395,-2021,16440
20250207110029,-386,-2085,16144
20250207110030,-462,-1841,16422
20250207110031,-431,-1952,16384
20250207110032,-441,-1984,16357
20250207110033,-411,-1993,16400
20250207110034,-426,-1884,16450
20250207110035,-269,-2482,16362
20250207110036,-428,-1944,16416
20250207110037,-387,-1958,16408
20250207110038,-408,-1939,16430
20250207110039,-427,-1826,16497
20250207110040,-378,-1891,16408
20250207110041,-427,-1872,16419
20250207110042,-423,-1916,16369
20250207110043,-491,-1837,16417
20250207110044,-386,-1868,16403
20250207110046,-414,-1923,16424
20250207110047,-430,-1910,16402
20250207110048,-437,-1873,16397
20250207110049,-440,-1886,16417
20250207110050,-418,-1867,16410
20250207110051,-422,-1848,16380
20250207110052,-451,-1873,16411
20250207110053,-446,-1811,16452
20250207110054,-457,-1857,16424
20250207110055,-474,-1825,16413
20250207110056,-409,-1877,16391
20250207110057,-440,-1844,16438
20250207110058,-448,-1828,16393
20250207110059,-436,-1816,16385
20250207110100,-421,-1573,16171
20250207110101,-508,-1610,16582
20250207110102,-620,-1820,16382
20250207110103,-637,-1844,16442
20250207110104,-666,-1849,16411
20250207110105,-621,-1808,16422
20250207110106,-621,-1804,16425
20250207110107,-619,-1787,16400
20250207110108,-653,-1772,16379
20250207110109,-632,-1760,16417
20250207110110,-616,-1807,16397
20250207110111,-624,-1751,16416
20250207110112,-639,-1771,16429
20250207110113,-651,-1787,16382
20250207110114,-667,-1743,16428
20250207110115,-621,-1714,16425
20250207110116,-647,-1725,16438
20250207110117,-679,-1710,16388
20250207110118,-695,-1720,16397
20250207110119,-697,-1660,16408
20250207110120,-679,-1699,16419
20250207110121,-678,-1679,16411
20250207110122,-642,-1703,16438
20250207110123,-662,-1685,16385
20250207110124,-644,-1699,16444
20250207110125,-659,-1677,16416
20250207110126,-663,-1694,16388
20250207110127,-657,-1645,16426
20250207110128,-687,-1658,16425
20250207110129,-667,-1676,16433
20250207110130,-702,-1656,16409
20250207110131,-672,-1608,16427
20250207110132,-694,-1598,16434
20250207110133,-691,-1580,16436
20250207110134,-682,-1540,16475
20250207110135,-659,-1526,16440
20250207110136,-847,-1478,16456
20250207110137,-815,-1334,16424
20250207110138,-845,-1384,16429
20250207110139,-743,-1431,16468
20250207110140,-788,-1335,16468
20250207110141,-2814,-2990,8051
20250207110142,-9479,-27659,21953
20250207110143,32676,-32764,-32758
20250207110144,-7051,31772,26238
20250207110145,3891,-5431,18338
20250207110146,-471,-53,16465
20250207110147,-177,-638,16498
20250207110148,-170,-651,16501
20250207110149,-156,-675,16484
20250207110150,-174,-609,16488
20250207110151,-86,-563,16535
20250207110152,-179,-623,16536
20250207110153,-168,-592,16496
20250207110154,-150,-496,16421
20250207110155,-182,-576,16486
20250207110156,-124,-464,16484
20250207110157,-184,-540,16487
20250207110158,-196,-552,16460
20250207110159,-155,-491,16494
20250207110200,-195,-471,16502
20250207110201,-185,-492,16507
20250207110202,-183,-521,16527
20250207110203,-173,-488,16497
20250207110204,-167,-486,16504
20250207110205,-210,-457,16504
20250207110206,-249,-339,16515
20250207110207,-162,-422,16477
20250207110208,-178,-453,16530
20250207110209,-169,-483,16445
20250207110210,-245,-420,16461
20250207110211,-110,-691,16812
20250207110212,-103,-614,16484
20250207110213,-163,-615,16492
20250207110214,-311,-301,16488
20250207110215,8996,-13757,12595
20250207110216,7499,-14161,7481
20250207110217,-1620,-12830,8546
20250207110218,18547,-29237,14957
20250207110219,-14498,-9304,-5541
20250207110220,2464,-9500,8993
20250207110221,-74,-1814,16412
20250207110222,-132,-182,16536
20250207110223,-78,-819,16474
20250207110224,-184,-894,16471
20250207110225,-190,-888,16510
20250207110226,-233,-849,16470
20250207110227,-265,-890,16480
20250207110228,-235,-821,16491
20250207110229,-274,-823,16468
20250207110230,-280,-834,16494
20250207110231,-276,-790,16485
20250207110232,-288,-779,16489
20250207110233,-279,-761,16489
20250207110234,-250,-762,16500
20250207110235,-310,-742,16473
20250207110236,-310,-756,16493
20250207110237,-275,-709,16481
20250207110238,-350,-694,16484
20250207110239,-338,-756,16519
20250207110240,-321,-722,16481
20250207110241,-276,-715,16490
20250207110242,-315,-679,16489
20250207110243,-339,-736,16493
20250207110244,-370,-697,16493
20250207110245,-342,-710,16501
20250207110246,-298,-773,16516
20250207110247,-14724,-148,-7880
20250207110248,-16256,2199,-1578
20250207110249,-17026,1217,672
20250207110250,-611,-16416,647
20250207110251,8820,-11082,10508
20250207110252,-13304,5304,6906
20250207110253,1839,-12118,7362
20250207110254,3659,-8164,14182
20250207110255,449,-7102,17357
20250207110256,-1750,-5225,8137
20250207110257,-1821,10019,17646
20250207110258,2546,-6575,17248
20250207110259,-88,-330,16490
20250207110300,-241,-441,16336
20250207110301,-249,-492,16489
20250207110302,-289,-543,16510
20250207110303,-319,-527,16468
20250207110304,-443,-694,16493
20250207110305,-402,-641,16494
20250207110306,-424,-678,16466
20250207110307,-455,-700,16468
20250207110308,-478,-678,16518
20250207110309,-467,-720,16515
20250207110310,-485,-725,16495
20250207110311,-524,-691,16472
20250207110312,-489,-749,16470
20250207110313,-485,-739,16452
20250207110314,-506,-776,16466
20250207110315,-13181,-9657,-2175
20250207110316,4679,-13994,9629
20250207110317,5579,-13228,8716
20250207110318,4843,-11380,2079
20250207110319,5545,-14804,-3011
20250207110320,15212,-13109,11059
20250207110321,-4597,-13112,7764
20250207110322,-7946,-13875,6133
20250207110323,13359,-4375,-14808
20250207110324,11904,-1563,-15052
20250207110325,13384,-7958,566
20250207110326,274,-14747,4090
20250207110327,8572,-11623,10195
20250207110328,7631,-10139,7085
20250207110329,4123,-10312,9957
20250207110330,7459,-14443,6290
20250207110331,398,-15940,3868
20250207110332,-5864,-10875,8824
20250207110333,-3459,14520,19209
20250207110334,-9064,-5894,7474
20250207110335,-2726,-9834,2293
20250207110336,4547,-8189,12046
20250207110337,-22,-981,16509
20250207110338,-81,-698,16500
20250207110339,-210,-593,16509
20250207110340,-156,-543,16489
20250207110341,-187,-407,16492
20250207110342,-170,-328,16507
20250207110343,-171,-295,16517
20250207110344,-177,-306,16509
20250207110345,-158,-289,16500
20250207110346,-153,-264,16520
20250207110347,-154,-270,16482
20250207110348,-179,-251,16526
20250207110349,-169,-280,16495
20250207110350,-127,-254,16499
20250207110351,-182,-227,16524
20250207110352,-171,-308,16504
20250207110353,-179,-270,16518
20250207110354,-198,-263,16514
20250207110355,-148,-280,16468
20250207110356,-167,-267,16514
20250207110357,-144,-246,16502
20250207110358,-206,-237,16457
20250207110359,-185,-273,16497
20250207110400,-167,-273,16466
20250207110401,-174,-281,16502
20250207110402,-169,-277,16504
20250207110403,-150,-296,16529
20250207110404,-186,-269,16493
20250207110405,-172,-260,16504
20250207110406,-183,-319,16502
20250207110407,-188,-315,16465
20250207110408,-170,-270,16485
20250207110409,-188,-252,16492
20250207110410,-171,-279,16530
20250207110411,-172,-300,16508
20250207110412,-110,-213,16493
20250207110413,-124,-304,16490
20250207110414,-164,-241,16510
20250207110415,-176,-254,16482
20250207110416,-162,-265,16490
20250207110417,-180,-240,16472
20250207110418,-173,-283,16533
20250207110419,-191,-281,16520
20250207110420,-176,-234,16517
20250207110421,-183,-250,16522
20250207110422,-206,-225,16501
20250207110423,-146,-284,16515
20250207110424,-200,-257,16501
20250207110425,-160,-288,16501
20250207110426,-169,-273,16507
20250207110427,-162,-303,16523
20250207110428,-182,-291,16513
20250207110429,-148,-261,16516
20250207110430,-162,-300,16522
20250207110431,-147,-275,16501
20250207110432,-203,-256,16499
20250207110433,-164,-258,16520
20250207110434,-171,-293,16489
20250207110435,-202,-269,16510
20250207110436,-167,-262,16503
20250207110437,-185,-304,16505
20250207110438,-139,-297,16532
20250207110439,-167,-271,16498
20250207110440,-186,-285,16519
20250207110441,-176,-279,16498
20250207110442,-182,-277,16518
20250207110443,-177,-248,16481
20250207110444,-134,-264,16520
20250207110445,-154,-263,16522
20250207110446,-173,-266,16507
20250207110447,-179,-286,16487
20250207110448,-194,-250,16489
20250207110449,-157,-259,16467
20250207110450,-157,-279,16489
20250207110451,-156,-282,16507
20250207110452,-172,-295,16503
20250207110453,-150,-273,16501
20250207110454,-206,-245,16494
20250207110455,-186,-265,16481
20250207110456,-152,-258,16510
20250207110457,-173,-256,16485
20250207110458,-138,-274,16517
20250207110459,-149,-250,16514
20250207110500,-148,-303,16499
20250207110501,-155,-245,16528
20250207110502,-179,-261,16493
20250207110503,-180,-242,16501
20250207110504,-189,-294,16522
20250207110505,-164,-290,16494
20250207110506,-186,-285,16511
20250207110507,-152,-263,16504
20250207110508,-174,-307,16483
20250207110509,-175,-263,16507
