_id,_rev,x,y,z
,,0.61,-0.37,0.06
,,0.61,-0.37,0.0
,,-0.06,-0.37,0.06
,,-0.18,-0.37,0.06
,,0.67,-0.31,0.0
,,0.61,-0.37,0.06
,,0.55,-0.37,0.0
,,0.43,-0.37,0.06
,,0.61,-0.37,0.0
,,0.61,-0.37,0.06
,,0.55,-0.37,0.0
,,0.61,-0.37,0.0
,,0.49,-0.37,0.06
,,2.32,-0.37,0.06
,,0.31,-0.37,0.06
,,0.43,-0.37,0.0
,,0.55,-0.37,0.0
,,0.49,-0.37,0.0
,,0.98,-0.37,0.0
,,0.73,-0.37,0.06
,,0.49,-0.37,0.06
,,0.37,-0.31,0.0
,,0.37,-0.37,0.06
,,0.79,-0.31,-0.06
,,0.55,-0.37,0.06
,,0.43,-0.37,0.06
,,1.16,-0.31,0.06
,,1.4,-0.37,0.0
,,0.18,-0.37,0.06
,,0.31,-0.37,0.06
,,1.4,-0.24,0.0
,,-33.2,4.76,8.85
,,0.49,-0.37,0.0
,,0.43,-0.43,0.06
,,0.43,-0.37,0.06
,,0.49,-0.37,0.06
,,0.43,-0.37,0.06
,,0.37,0.18,0.24
,,-0.31,-0.49,0.12
,,10.01,-0.85,-1.46
,,-0.12,-0.37,0.06
,,0.06,-0.55,0.12
,,0.85,-0.49,0.12
,,-0.49,-0.31,0.0
,,-5.13,-1.83,-3.66
,,0.12,-0.43,0.06
,,0.31,-0.31,0.0
,,0.79,-0.43,0.06
,,0.37,-0.31,0.0
,,-0.12,-0.49,0.12
,,0.49,-0.37,0.0
,,1.77,-0.24,0.0
,,0.43,-0.37,0.0
,,0.61,-0.43,0.06
,,-1.22,-0.18,0.0
,,0.61,-0.37,0.0
,,4.46,-0.18,-0.12
,,0.43,-0.37,0.0
,,0.73,-0.31,0.0
,,0.92,-0.24,0.0
,,0.37,-0.37,0.06
,,1.16,-0.31,-0.06
,,0.79,-0.31,0.06
,,-17.21,19.29,-3.78
,,-118.53,-15.56,-19.65
,,-121.46,-5.37,9.34
,,-7.02,-0.06,0.55
,,-7.63,-0.12,0.61
,,7.26,-53.77,-60.42
,,-0.12,-0.37,0.12
,,33.08,-8.85,-15.26
