timestamp,x,y,z
1741020668.3235772,0.37,-0.37,0.18
1741020669.6363297,0.37,-0.37,0.18
1741020670.0815766,0.43,-0.37,0.12
1741020670.4897418,0.43,-0.37,0.12
1741020670.899585,0.37,-0.37,0.12
1741020671.309024,0.49,-0.37,0.18
1741020671.7226813,0.37,-0.43,0.18
1741020672.050763,0.37,-0.43,0.12
1741020672.3943634,0.37,-0.37,0.18
1741020672.7429454,0.37,-0.37,0.12
1741020673.1549668,0.43,-0.37,0.12
1741020673.5611522,0.49,-0.43,0.18
1741020673.9728203,0.49,-0.37,0.12
1741020674.3805807,0.37,-0.37,0.18
1741020674.791403,0.43,-0.37,0.12
1741020675.2007294,0.37,-0.37,0.18
1741020675.6145813,0.43,-0.37,0.12
1741020676.019515,0.43,-0.43,0.18
1741020676.3500845,0.43,-0.37,0.12
1741020676.736557,0.49,-0.37,0.18
1741020677.146037,0.43,-0.37,0.18
1741020677.558863,0.49,-0.37,0.12
1741020677.9662418,0.43,-0.37,0.18
1741020678.3745441,0.43,-0.37,0.12
1741020678.7839565,0.43,-0.37,0.18
1741020679.1948624,0.43,-0.43,0.18
1741020679.6045697,0.43,-0.43,0.12
1741020680.0148714,0.49,-0.37,0.12
1741020680.4115727,0.49,-0.37,0.12
1741020680.8324964,0.37,-0.37,0.12
1741020681.2491374,0.31,-0.37,0.12
1741020681.651591,0.37,-0.43,0.12
1741020682.0599186,0.43,-0.37,0.12
1741020682.4735377,0.31,-0.37,0.12
1741020682.809873,0.67,-0.06,0.18
1741020683.1880476,0.49,-0.31,0.12
1741020683.5986223,0.49,-0.37,0.18
1741020684.007241,0.55,-0.37,0.18
1741020684.4211385,0.49,-0.37,0.18
1741020684.9300742,0.43,-0.37,0.12
1741020685.3379533,0.43,-0.43,0.12
1741020685.6768532,0.43,-0.37,0.18
1741020686.022274,0.43,-0.31,0.12
1741020686.361775,0.43,-0.37,0.12
1741020686.775856,0.49,-0.37,0.18
1741020687.1065984,0.43,-0.37,0.12
1741020687.4889557,0.43,-0.37,0.12
1741020687.8984973,0.37,-0.37,0.18
1741020688.3091094,0.37,-0.43,0.12
1741020688.7188945,0.43,-0.43,0.18
1741020689.126466,0.43,-0.31,0.12
1741020689.4570694,0.49,-0.43,0.12
1741020689.844104,0.43,-0.37,0.18
1741020690.2545426,0.43,-0.37,0.18
1741020690.6714456,0.37,-0.43,0.12
1741020691.0730374,0.49,-0.37,0.18
1741020691.4058697,0.37,-0.37,0.12
1741020691.7898648,0.49,-0.24,0.18
1741020692.201424,0.55,-0.31,0.18
1741020692.6094313,-0.24,-0.43,-0.12
1741020693.0185118,1.16,-0.06,0.24
1741020693.4325905,0.43,-0.37,0.12
1741020693.7694387,0.37,-0.37,0.18
1741020694.112837,0.49,-0.43,0.12
1741020694.4516037,0.49,-0.37,0.18
1741020694.8621447,0.43,-0.43,0.18
1741020695.2713509,0.37,-0.43,0.12
1741020696.0915606,0.49,-0.31,0.12
1741020696.4996405,0.18,-0.61,0.12
1741020696.9123788,0.43,-0.37,0.18
1741020697.3188417,0.43,-0.37,0.12
1741020697.7277882,0.37,-0.37,0.12
1741020698.136534,0.43,-0.37,0.18
1741020698.4971695,0.43,-0.37,0.12
1741020698.9583297,0.37,-0.37,0.18
1741020699.3670409,0.43,-0.43,0.12
1741020699.7775085,0.43,-0.37,0.18
1741020700.1889632,0.43,-0.37,0.12
1741020700.5959878,0.49,-0.37,0.18
1741020701.005353,0.43,-0.37,0.18
1741020701.4149153,0.43,-0.37,0.18
1741020701.831787,0.43,-0.43,0.18
1741020702.279443,0.43,-0.37,0.18
1741020702.7476673,0.43,-0.37,0.12
1741020703.1570237,1.22,0.06,0.24
1741020703.565367,0.55,-0.31,0.18
1741020703.9769874,0.37,-0.43,0.18
1741020704.3049803,0.43,-0.37,0.12
1741020704.6463516,0.49,-0.37,0.12
1741020704.9997513,0.37,-0.37,0.12
1741020705.41038,0.43,-0.37,0.12
1741020705.8211277,0.43,-0.37,0.12
1741020706.1524894,0.55,-0.31,0.18
1741020706.5362017,0.37,-0.37,0.18
1741020706.919463,0.43,-0.37,0.12
1741020707.252931,0.43,-0.37,0.12
1741020707.590712,0.43,-0.37,0.12
1741020707.9203491,0.37,-0.37,0.12
1741020708.2505176,0.49,-0.43,0.18
1741020708.5805278,0.37,-0.37,0.18
1741020709.016549,0.24,-0.37,0.12
1741020709.3513994,0.43,-0.37,0.18
1741020709.685545,0.37,-0.37,0.12
1741020710.029125,0.37,-0.43,0.18
1741020710.3676572,0.49,-0.37,0.12
1741020710.7086737,0.49,-0.37,0.12
1741020711.0461714,0.31,-0.43,0.12
1741020711.3867378,0.37,-0.37,0.12
1741020711.7335513,0.49,-0.37,0.18
1741020712.0671167,0.49,-0.37,0.12
1741020712.3935332,0.43,-0.37,0.12
