_id,_rev,x,y,z
7864751d752e715b4959f9bb41000850,1-79d909b2f458977bc7d4008b2182f606,0.61,-0.37,0.06
7864751d752e715b4959f9bb4100103b,1-1de74115189d9acd3fea9c4b76d0dfaa,0.61,-0.37,0.0
7864751d752e715b4959f9bb41001ef7,1-87a4e8149ce6b426b59e77c38ed40b3e,-0.06,-0.37,0.06
7864751d752e715b4959f9bb410023c1,1-715c6d4553295df207562d3ba3254e5c,-0.18,-0.37,0.06
7864751d752e715b4959f9bb410026c5,1-4c358fefdf497a37cfefbd0749ab88f8,0.67,-0.31,0.0
7864751d752e715b4959f9bb4100341e,1-79d909b2f458977bc7d4008b2182f606,0.61,-0.37,0.06
7864751d752e715b4959f9bb4100417a,1-73e253d29dea52fd85e4716ca86376d0,0.55,-0.37,0.0
7864751d752e715b4959f9bb41004a4b,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4100586b,1-1de74115189d9acd3fea9c4b76d0dfaa,0.61,-0.37,0.0
7864751d752e715b4959f9bb41006523,1-79d909b2f458977bc7d4008b2182f606,0.61,-0.37,0.06
7864751d752e715b4959f9bb410070cb,1-73e253d29dea52fd85e4716ca86376d0,0.55,-0.37,0.0
7864751d752e715b4959f9bb41007a5d,1-1de74115189d9acd3fea9c4b76d0dfaa,0.61,-0.37,0.0
7864751d752e715b4959f9bb41008420,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb41009111,1-ccad5907291eafa2ac7033a641762102,2.32,-0.37,0.06
7864751d752e715b4959f9bb41009e0d,1-c91887ac49986289fcdea9a58332797d,0.31,-0.37,0.06
7864751d752e715b4959f9bb4100a65c,1-db241dc3dea75280843888dd41281441,0.43,-0.37,0.0
7864751d752e715b4959f9bb4100aa41,1-73e253d29dea52fd85e4716ca86376d0,0.55,-0.37,0.0
7864751d752e715b4959f9bb4100ad4a,1-3d72661b30fccd92d6d0dc67150179a9,0.49,-0.37,0.0
7864751d752e715b4959f9bb4100b239,1-0bdcf7a6c925b307709af4d4ac364d43,0.98,-0.37,0.0
7864751d752e715b4959f9bb4100bed6,1-e87ab92ecdd10b4bb8006f215561a738,0.73,-0.37,0.06
7864751d752e715b4959f9bb4100ce82,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb4100d24d,1-3a1617df90ce46c9bc0efa8a0e0b7fe6,0.37,-0.31,0.0
